pixel_x_250m,pixel_y_250m,depth_bin_10cm,observed_SOC_pct,predicted_SOC_pct,lower_90,upper_90,n_horizons
-52303,23630,9,0.16999999930460996,0.26756456,0.0,0.6330923388639069,3
-52303,23630,11,0.10000000024834665,0.25239232,0.0,0.6131410580504608,3
-52287,23602,0,2.038624982039129,1.96298915,0.4870710954193116,3.4389072045806888,12
-52287,23602,1,1.783175021409985,1.00489165,0.19955171755828854,1.8102315824417112,4
-52287,23602,2,0.84999999403953,0.85956955,0.08774909421043398,1.631390005789566,2
-52287,23602,4,1.5739099979400564,0.5895637,0.0,1.1886248910820008,3
-52287,23602,5,1.1906000177065466,0.5128586533333334,0.0,1.0411795618797812,3
-52287,23602,6,1.6300600469112352,0.4460302,0.0,0.9331936542942048,2
-52287,23602,7,1.6068999767303398,0.4245787,0.0,0.912573609286499,1
-52287,23602,8,1.0000666975974966,0.35570396000000004,0.0,0.7696616253639476,3
-52287,23602,9,1.1542699734369866,0.3455574799999999,0.0,0.7587657560334015,3
-52287,23602,10,0.6272999942302651,0.33189428,0.0,0.7229429796173859,2
-52287,23602,11,0.63531748205423,0.3300623075,0.0,0.7211110071173858,4
-52187,23610,0,2.3808187469840014,2.103135,0.5622986061668397,3.6439713938331604,16
-52187,23610,1,1.3901249766349775,1.2541098,0.32910905792217254,2.1791105420778276,4
-52187,23610,2,1.580850005149835,1.1618453,0.1988748941829681,2.124815705817032,4
-52187,23610,3,1.0409033099810234,0.8323401233333333,0.060234250702260295,1.6044459959644062,3
-52187,23610,4,1.3862659931182821,0.687996848,0.018052668941925053,1.3579410270580747,5
-52187,23610,5,0.6033566594123766,0.6109041333333334,0.02594168584899903,1.1958665808176676,3
-52187,23610,6,0.63752001523971,0.5334216,0.002599263326263479,1.0642439366737366,1
-52187,23610,7,0.91908997297287,0.5050946,0.0,1.0401954772850037,2
-52187,23610,8,0.822187978029244,0.43808562999999995,0.0,0.9357776785496521,5
-52187,23610,9,0.5029366811116466,0.4176339,0.0,0.9128218382133483,3
-52187,23610,11,0.5021137483417962,0.40770998,0.0,0.8733560383209992,8
-52135,23626,0,2.07841499447822,1.5071758499999999,0.4168627134223938,2.597488986577606,20
-52135,23626,1,1.7404666741689032,1.1844108666666668,0.2292842036176046,2.139537529715729,3
-52135,23626,2,1.4252428582736372,1.1093969357142857,0.16387347784652712,2.0549203935820444,7
-52135,23626,3,0.68000000715255,0.7504434,0.0,1.5057197223648071,1
-52135,23626,4,1.1423540115356399,0.679031306,0.0019781836473083516,1.3764433796122133,5
-52135,23626,5,0.9793699905276225,0.6282699875,0.0036849841182708953,1.2630129627349853,4
-52135,23626,6,0.40000000596046,0.56312394,0.0,1.1607808456510926,1
-52135,23626,7,0.7432928596224058,0.4713259828571429,0.0,1.0255683723998588,7
-52135,23626,8,0.39702665805816,0.4066484133333333,0.0,0.9319681882789103,3
-52135,23626,9,0.49921500682830167,0.39328576666666665,0.0,0.9075423632319133,6
-52135,23626,10,0.46965498477219997,0.3768553,0.0,0.8424630027320862,2
-52135,23626,11,0.3538412526249837,0.37412504,0.0,0.8385874245815659,8
-45600,15085,0,0.41000001132488,0.551213535,0.0,1.178114923168335,2
-45600,15085,2,0.17000000178813,0.47978935,0.0,1.0214133596092223,1
-45600,15085,5,0.23999999463558,0.26993638,0.0,0.6454352410744476,1
-45600,15085,8,0.20999999344348,0.13143845,0.0,0.40364422001571654,1
-45600,15612,0,0.33499999344348497,0.7535311849999999,0.05053412637001037,1.4565282436299896,2
-45600,15612,2,0.18000000715255,0.62176263,0.005434748186950666,1.2380905118130494,1
-45600,15612,5,0.25,0.36446008,0.0,0.7754505864105987,1
-45600,15612,8,0.3000000119209199,0.17619555,0.0,0.4457526386135101,1
-45600,15613,0,0.409999996423715,0.7386207,0.03729330618972776,1.4416177586299896,2
-45600,15613,2,0.20999999344348,0.62063503,0.00430714818695066,1.2369629118130492,1
-45600,15613,5,0.15999999642372,0.37230805,0.0,0.7855448468559265,1
-45600,15613,8,0.28000000119209,0.18418376,0.0,0.45685829074455264,1
-45395,15461,0,0.4113888910247161,0.6788847641666667,0.08605708147286736,1.2717124468604661,36
-45395,15461,2,0.1600000013907694,0.5180994750000001,0.003925741450500471,1.0343361577329,18
-45395,15461,5,0.1788888908922611,0.23924795500000004,0.0,0.5366111269748179,18
-45395,15461,8,0.15944444512326997,0.11278294850000001,0.0,0.32987420090643815,18
-45395,15462,0,0.4333333397904992,0.6890955499999999,0.06725939434700012,1.3109317056529999,12
-45395,15462,2,0.17666666582226165,0.5154133,0.0,1.0378546871765137,6
-45395,15462,5,0.19166666517654332,0.23384984,0.0,0.5369249151495361,6
-45395,15462,8,0.16666666790842496,0.107935734,0.0,0.3305580540559616,6
-45395,15462,,0.3733333418766607,0.36725998,0.0,0.762709290541153,15
